기록자 정보,,,,,,,,지하철 현황,,탑승자 정보,,,,,,,,,
날짜,기록 시간,기록자,호선,탑승역,하차역,지나온 역 수,시간,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류,
07/31,19:10,재민,5,공덕,여의도,3,6,N,,여,,중년,X,X,O,"이어폰, 핸드폰",,"쇼핑백, 장우산","붐빔 여부 
- F (Full) : 열차 칸에 서있는 사람이 20명 초과인 경우
- N (Normal) : 좌석이 꽉차고 열차 칸에 서있는 사람이 20명 이하인 경우
- E (Empty) : 남은 좌석이 있는 경우

연령대
- ~13살: 어린이
- 14~19살: 청소년
- 20, 30대: 청년
- 65세 이전 : 중년
- 65세 이후 : 노년


일단 짐은 전부다 적고, 단비는 무신사를 기준으로 짐 분류를 좀 하세요
비어있는 구간은 한 행으로 추가해서 할 것( 재민님 행 확인 )


지하철 호선 드롭다운 목록 추가(1~9, 10, 11)

함수 추가
1. 만약 성별이 남자라면 임산부배지 항목 자동으로 X, 여자일 경우는 OX 추가 입력
2. 만약 임산부배지 항목에서 X를 선택했다면 임산부여부는 자동으로 X
 ** 만약 임산부 배지 X인데 임산부여부가 O일 경우에는 임산부여부를 수동으로 고쳐줘야 합니다.(지금까지의 데이터는 변동 없이 반영되어있음. 이후 데이터 쌓을 때만 유의하면 됩니다.)"
08/03,19:29,미현,1,종각,수원,24,48,N,X,여,,중년,X,X,O,대화,두분이서 대화 나누심,끌고 다니는 시장 바구니와 그 위에 짐이 또 있음,
08/03,19:29,미현,1,종각,용산,4,,N,X,비었음,4,,,,,,,,
08/03,19:38,미현,1,종각,수원,24,,N,X,남,,청소년,X,X,O,핸드폰,엄마가 앉으라고 아들에게 권유 아들은 덥썩 앉음,백팩,
08/03,19:48,미현,1,종각,수원,24,,F,X,여,,청년,X,X,X,잠,,,
08/03,20:11,미현,1,종각,수원,24,,F,X,여,,중년,X,X,O,핸드폰,,"쇼핑백 두 개, 우산, 미니 크로스백",
08/03,20:11,미현,1,종각,수원,24,,F,X,남,,청년,X,X,O,핸드폰,,쇼퍼백,
08/03,20:28,미현,1,종각,수원,24,,F,X,남,,청년,X,X,O,멍,외국인,mlb 백팩,
08/03,20:29,미현,1,종각,수원,24,,F,X,남,,어린이,X,X,X,핸드폰,어린이 세 명이 두 자리에 나눠 앉음 그 앞에 부모님이 서계심,,
08/03,20:40,미현,1,종각,수원,24,,F,X,남,,청년,X,X,O,대화,외국인,쇼핑백 상체 사이즈,
08/03,20:40,미현,1,성균관대,수원,2,,F,X,비었음,2,,,,,,옆자리 중년 남성이 자신의 쇼핑백을 올려둠,,
08/03,9:42,재민,10,야탑,왕십리,16,32,N,X,남,,중년,X,X,O,핸드폰,,백팩,
08/03,9:54,재민,10,야탑,왕십리,16,,N,O,여,,청년,X,X,O,멍,,백팩,
08/03,9:54,재민,10,야탑,왕십리,16,,N,O,여,,중년,X,X,O,멍,,"큰 크로스백, 도시락가방(?)",
08/03,10:14,재민,10,압구정로데오,왕십리,2,,E,O,비었음,2,,,,,,,,
08/03,10:14,재민,10,압구정로데오,왕십리,2,,E,O,비었음,2,,,,,,,,
08/03,10:32,재민,5,왕십리,광화문,7,14,N,O,여,,중년,X,X,X,,,,
08/03,10:32,재민,5,왕십리,광화문,7,,N,O,여,,중년,X,X,X,,,,
08/03,18:06,재민,5,광화문,왕십리,7,,F,O,여,,중년,X,X,O,,,백팩,
