기록자 정보,,,,,,,,지하철 현황,,탑승자 정보,,,,,,,,,
날짜,기록 시간,기록자,호선,탑승역,하차역,지나온 역 수,시간,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류,
07/31,19:10,재민,5,공덕,여의도,3,6,N,,여,,중년,X,X,O,"이어폰, 핸드폰",,"쇼핑백, 장우산","붐빔 여부 
- F (Full) : 열차 칸에 서있는 사람이 20명 초과인 경우
- N (Normal) : 좌석이 꽉차고 열차 칸에 서있는 사람이 20명 이하인 경우
- E (Empty) : 남은 좌석이 있는 경우

연령대
- ~13살: 어린이
- 14~19살: 청소년
- 20, 30대: 청년
- 65세 이전 : 중년
- 65세 이후 : 노년


일단 짐은 전부다 적고, 단비는 무신사를 기준으로 짐 분류를 좀 하세요
비어있는 구간은 한 행으로 추가해서 할 것( 재민님 행 확인 )


지하철 호선 드롭다운 목록 추가(1~9, 10, 11)

함수 추가
1. 만약 성별이 남자라면 임산부배지 항목 자동으로 X, 여자일 경우는 OX 추가 입력
2. 만약 임산부배지 항목에서 X를 선택했다면 임산부여부는 자동으로 X
 ** 만약 임산부 배지 X인데 임산부여부가 O일 경우에는 임산부여부를 수동으로 고쳐줘야 합니다.(지금까지의 데이터는 변동 없이 반영되어있음. 이후 데이터 쌓을 때만 유의하면 됩니다.)"
08/14,19:29,한솔,1,화서,병점,3,,E,O,비었음,3,,,,,,,,
08/14,19:35,미현,1,화서,수원,1,,E,O,비었음,1,,,,,,,,
08/14,19:35,한솔,1,수원,병점,2,,E,O,비었음,2,,,,,,,,
08/14,18:23,재민,5,공덕,애오개,1,,F,X,비었음,1,,,,,,,,
08/14,18:23,재민,5,공덕,왕십리,11,22,F,X,여,,노년,X,X,X,멍,,"크로스백, 양산",
08/14,18:26,재민,5,공덕,왕십리,11,,F,X,남,,노년,X,X,X,멍,,,
08/14,18:26,재민,5,충정로,왕십리,9,,F,X,비었음,9,,,,,,,,
08/14,18:54,재민,10,왕십리,도곡,7,,F,X,비었음,7,,,,,,,,
08/14,19:04,재민,10,강남구청,도곡,4,,F,X,비었음,4,,,,,,,,
08/14,19:10,재민,10,왕십리,야탑,16,,F,X,여,,청년,X,X,X,이어폰,,"크로스백, 쇼핑백(미니)",
08/14,19:10,재민,10,왕십리,야탑,16,,F,X,여,,중년,X,X,X,독서,,,
08/14,19:26,재민,10,태평,모란,1,,F,X,비었음,1,,,,,,,,
08/14,19:29,재민,10,왕십리,야탑,16,32,F,X,남,,중년,X,X,X,잠,,,
08/14,18:48,현미,6,공덕,합정,4,,N,X,여,,어린이,X,X,X,핸드폰,,,
08/14,18:48,현미,6,공덕,합정,4,,N,X,남,,중년,X,X,O,핸드폰,,백팩,
08/14,18:56,현미,6,합정,증산,5,,N,O,여,,중년,X,X,X,핸드폰,,핸드백,
08/14,18:56,현미,6,합정,증산,5,10,N,O,여,,노년,X,X,O,멍,,에코백,
08/14,19:12,현미,6,새절,불광,3,,E,O,비었음,3,,,,,,,,
08/14,19:12,현미,6,증산,불광,4,,E,O,비었음,4,,,,,,,,
08/14,8:27,단비,7,신중동,온수,4,8,N,X,여,,청년,X,X,O,핸드폰,,백팩,
08/14,8:27,단비,7,신중동,온수,4,,N,X,여,,노년,X,X,O,잠,,보스턴백,
08/14,8:40,단비,1,온수,신길,7,14,F,X,여,,청년,X,?,X,잠,,크로스백,
08/14,8:40,단비,1,온수,신길,7,,F,X,여,,노년,X,X,O,책,,보스턴백,
08/14,9:03,단비,5,신길,공덕,4,8,N,X,여,,노년,X,X,O,멍,,에코백,
08/14,9:03,단비,5,신길,공덕,4,,N,X,여,,청년,X,X,O,핸드폰,,백팩,
08/14,9:06,단비,5,신길,공덕,4,,N,X,여,,노년,X,X,O,멍,,"백팩, 보스턴백",
08/14,9:08,단비,5,신길,공덕,4,,N,X,여,,청년,X,X,O,핸드폰,,에코백,
08/14,18:22,단비,5,공덕,신길,4,8,F,X,여,,청년,X,X,O,핸드폰,,,
08/14,18:22,단비,5,공덕,여의도,3,,F,X,비었음,3,,,,,,,,
08/14,18:30,단비,5,공덕,신길,4,,F,X,여,,청년,X,X,X,핸드폰,,크로스백,
08/14,18:43,단비,1,신길,온수,7,14,F,X,남,,청년,X,X,O,잠,,에코백,
08/14,18:43,단비,1,신길,온수,7,,F,X,여,,노년,X,X,O,잠,,에코백,
08/14,19:06,단비,7,온수,신중동,4,8,F,X,여,,중년,X,X,O,잠,,보스턴백,
08/14,19:06,단비,7,온수,신중동,4,,F,X,여,,청년,X,X,O,잠,"에코백만한 크기에 가죽같은,,라탄같은,,가방",에코백,
08/15,12:30,보민,2,잠실,잠실새내,1,,N,O,비었음,,,,,,,,,
08/15,12:30,보민,2,잠실,선릉,4,,N,O,여,,중년,X,X,X,멍,같은 라인에 자리나자 옮겨앉음,큰사이즈 핸드백,
08/15,12:32,보민,2,잠실새내,역삼,4,8,N,O,여,,청년,X,?,X,핸드폰,,우산,
08/15,12:38,보민,2,선릉,역삼,1,,N,O,여,,중년,X,X,X,,맞은편에 자리가 났지만 옮겨앉지 않음,"핸드백 두개, 중우산",
08/15,19:16,보민,2,역삼,잠실새내,4,,N,O,비었음,,,,,,,,,
08/15,19:16,보민,2,역삼,잠실,5,10,N,O,비었음,,,,,,,,,
08/15,19:24,보민,2,잠실새내,잠실,1,,N,O,여,,중년,X,X,X,멍,,"작은 크로스백, 종이봉투, 우산",
08/15,14:39,단비,1,중동,동암,5,,E,O,비었음,5,,,,,,,,
08/15,14:39,단비,1,중동,주안,7,,E,O,여,,노년,X,X,O,대화,일반석 자리가 비었음에도 임산부석포함해서 나란히 4명의 일행이 앉음,"백팩, 장우산",
08/15,14:52,단비,1,중동,주안,7,14,E,O,여,,노년,X,X,X,멍,일반석 비어있는데 굳이 임산부석에 앉음,장우산,
08/16,8:23,미현,1,수원,신길,17,34,F,X,여,,중년,X,X,O,잠,,에코백,
08/16,8:23,미현,1,수원,신길,17,,F,X,남,,중년,X,X,O,핸드폰,,노트북가방,
08/16,8:16,한솔,1,병점,수원,2,,E,O,비었음,2,,,,,,,,
08/16,8:16,한솔,1,병점,수원,2,,E,O,비었음,2,,,,,,,,
08/16,8:28,한솔,1,병점,신길,19,,N,O,남,,청년,X,X,X,"이어폰, 핸드폰",,,
08/16,9:10,미현,1,수원,신길,17,,F,X,여,,청년,O,O,O,"이어폰, 핸드폰",,에코백,
08/16,9:10,미현,1,수원,신길,17,,F,X,여,,중년,X,X,O,독서,,백팩,
08/16,9:18,미현,5,신길,공덕,4,8,F,X,여,,청년,X,?,X,잠,,핸드백,
08/16,9:18,미현,5,신길,공덕,4,,F,X,여,,노년,X,X,X,핸드폰,,핸드백,
08/16,9:12,한솔,1,병점,신길,19,38,F,X,여,,청년,X,X,X,잠,,,
08/16,9:25,한솔,5,신길,공덕,4,,N,O,여,,중년,X,X,O,"핸드폰, 먹기",,에코백,
08/16,9:25,한솔,5,신길,공덕,4,,N,O,여,,중년,X,X,O,"핸드폰, 이어폰",,백팩,
08/16,9:38,한솔,5,신길,공덕,4,8,N,O,남,,노년,X,X,O,멍,,"백팩, 큰 쇼핑백",
08/16,17:57,미현,5,공덕,신길,4,,F,O,남,,어린이,X,X,X,대화,엄마와 같이 있음,,
08/16,17:57,한솔,5,공덕,신길,4,,F,O,여,,청년,X,X,O,핸드폰 ,,메신저백,
08/16,17:58,미현,5,공덕,여의도,3,,F,O,비었음,3,,,,,,,,
08/16,18:02,한솔,5,공덕,신길,4,,F,O,여,,청년,X,O,O,핸드폰,,백팩,
08/16,18:14,미현,1,신길,금정,11,,F,X,비었음,11,,,,,,,,
08/16,18:14,한솔,1,신길,병점,19,38,N,O,여,,청년,X,X,O,"이어폰, 핸드폰",모자를 푹 눌러써서 연령대 파악 어려움,에코백,
08/16,18:14,미현,1,신길,수원,17,34,F,X,여,,노년,X,X,X,잠,,,
08/16,18:16,한솔,1,신길,병점,19,,N,O,여,,노년,X,X,O,잠,,"쿨러백 (락앤락 4개 사이즈), 도트백, 크로스백",
08/16,18:16,미현,1,영등포,안양,8,,F,O,비었음,8,,,,,,,,
08/16,18:38,미현,1,신길,수원,17,,F,X,여,,노년,X,X,O,멍,,백팩,
08/16,18:42,미현,1,명학,의왕,4,,F,X,비었음,4,,,,,,,,
08/16,18:44,미현,1,신길,수원,17,,F,X,남,,청소년,X,X,X,핸드폰,계속 서서 5-6정거장 이상 오다가 갑자기 앉음,,
08/16,18:45,한솔,1,신길,병점,19,,N,O,남,,노년,X,X,X,멍,,,
08/16,18:50,미현,1,당정,수원,4,,N,O,비었음,4,,,,,,,,
08/16,18:55,미현,1,신길,수원,17,,N,O,남,,중년,X,X,O,핸드폰,,백팩,
08/16,18:59,미현,1,화서,수원,1,,E,O,비었음,1,,,,,,,,
08/16,21:03,현미,6,공덕,합정,4,,E,X,남,,중년,X,X,X,핸드폰,,,
08/16,21:03,현미,6,공덕,합정,4,,E,X,비었음,4,,,,,,,,
08/16,21:11,현미,6,합정,마포구청,2,,N,X,비었음,2,,,,,,,,
08/16,21:14,현미,6,마포구청,불광,7,,N,X,비었음,7,,,,,,,,
08/16,21:14,현미,6,마포구청,불광,7,14,N,X,여,,중년,X,X,X,핸드폰(전화통화),,,
08/16,9:16,보민,6,화랑대,신당,11,22,E,O,여,,청년,O,O,X,핸드폰,,,
08/16,9:16,보민,6,화랑대,태릉입구,1,,E,O,비었음,1,,,,,,,,
08/16,9:19,보민,6,태릉입구,보문,7,,N,X,남,,청년,X,X,X,핸드폰,,우산,
08/16,9:30,보민,6,보문,창신,1,,F,X,비었음,1,,,,,,,,
08/16,9:31,보민,6,창신,이태원,7,,F,O,여,,어린이,X,X,X,핸드폰,외국인,,
08/16,9:35,보민,6,신당,약수,2,,N,O,남,,중년,X,X,O,멍,,백팩,
08/16,9:38,보민,6,약수,공덕,7,,N,O,비었음,7,,,,,,,,
08/16,9:44,보민,6,이태원,삼각지,2,,E,O,비었음,2,,,,,,,,
08/16,9:48,보민,6,삼각지,공덕,2,,E,O,여,,중년,X,X,X,멍,옆자리 비었으나 옮기지 않음,,
08/16,17:57,보민,6,공덕,한강진,5,,N,O,여,,청년,X,?,X,핸드폰,,토드백,
08/16,17:58,보민,6,공덕,삼각지,2,,N,O,여,,중년,X,X,X,"핸드폰, 멍",,크로스백,
08/16,18:01,보민,6,삼각지,화랑대,18,36,N,O,비었음,18,,,,,,여성들이 임산부석을 둘러싸고 서계셨음,,
08/16,18:07,보민,6,한강진,청구,3,,N,O,비었음,3,,,,,,,,
08/16,18:12,보민,6,청구,동묘앞,2,,F,O,여,,중년,X,X,X,핸드폰,,핸드백,
08/16,18:15,보민,6,동묘앞,돌곶이,7,,F,O,여,,중년,X,X,O,핸드폰,,백팩,
08/16,18:26,보민,6,돌곶이,석계,1,,E,O,비었음,1,,,,,,,,
08/16,18:28,보민,6,석계,화랑대,2,,N,O,여,,중년,X,X,X,핸드폰,,핸드백,
08/16,8:39,단비,7,신중동,온수,4,8,E,O,여,,청년,X,X,X,화장,,크로스백,
08/16,8:39,단비,7,신중동,온수,4,,E,O,여,,청년,X,X,O,핸드폰,,백팩,
08/16,8:55,단비,1,온수,신길,7,14,N,X,여,,노년,X,X,X,잠,,크로스백,
08/16,8:55,단비,1,온수,신길,7,,N,X,남,,중년,X,X,X,핸드폰,,,
08/16,9:09,단비,1,영등포,신길,1,,N,X,비었음,1,,,,,,,,
08/16,9:17,단비,5,신길,공덕,4,8,N,O,여,,청년,X,X,X,핸드폰,,크로스백,
08/16,9:17,단비,5,신길,공덕,4,,N,O,여,,노년,X,X,O,핸드폰,,에코백,
08/16,18:00,단비,5,공덕,신길,4,8,N,O,여,,청년,X,?,O,핸드폰,,에코백,
08/16,18:00,단비,5,공덕,신길,4,,N,O,비었음,4,,,,,,,,
08/16,18:16,단비,1,신길,온수,7,14,F,X,여,,노년,X,X,O,잠,,백팩,
08/16,18:16,단비,1,신길,온수,7,,F,X,여,,청년,X,X,O,핸드폰,에코백 크기의 가죽가방,에코백,
08/16,18:29,단비,1,신길,온수,7,,F,X,여,,청년,X,X,O,핸드폰,에코백 크기의 가죽가방,에코백,
08/16,18:40,단비,7,온수,신중동,4,,F,X,여,,청년,X,X,X,핸드폰,,크로스백,
08/16,18:40,단비,7,온수,신중동,4,8,F,X,남,,중년,X,X,O,잠,,백팩,
,,,,,,,,,,,,,,,,,,,
,,,,,,,4482,74.7,,,,,,,,,,,
