,date,time,line,start,stop,crowdedness,E,N,F,is_old_seat_empty,is_p_seat_empty,p_seat_empty_count,female,male,age,child,teenage,youth,middle_age,old_age,badge,pregnant,heavy,behavior1,behavior2,behavior3,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
71,2019. 8. 2.,8:41:00,10,야탑,왕십리,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,멍,,,0,1,0,0,0,0,0,0,0,0
72,2019. 8. 2.,9:00:00,10,강남구청,왕십리,E,1,0,0,1,1,3.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
73,2019. 8. 2.,9:00:00,10,강남구청,왕십리,E,1,0,0,1,1,3.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
74,2019. 8. 2.,9:19:00,5,왕십리,공덕,E,1,0,0,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
75,2019. 8. 2.,9:19:00,5,왕십리,공덕,E,1,0,0,0,1,11.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
76,2019. 8. 2.,17:29:00,5,공덕,신길,F,0,0,1,0,0,,0,1,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
77,2019. 8. 2.,17:29:00,5,공덕,신길,F,0,0,1,0,1,4.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
78,2019. 8. 2.,17:48:00,1,신길,수원,F,0,0,1,0,0,,1,0,노년,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,잠,,,0,0,1,0,0,0,0,0,0,0
79,2019. 8. 2.,17:48:00,1,신길,수원,F,0,0,1,0,0,,1,0,노년,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
80,2019. 8. 2.,18:21:00,1,신길,수원,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
81,2019. 8. 2.,18:30:00,1,신길,수원,F,0,0,1,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
82,2019. 8. 2.,17:52:00,1,신길,영등포,E,1,0,0,1,1,1.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
83,2019. 8. 2.,17:52:00,1,신길,신도림,E,1,0,0,1,1,2.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
84,2019. 8. 2.,17:57:00,1,신길,병점,E,1,0,0,1,0,,0,1,노년,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,멍,,,0,1,0,0,0,0,0,0,0,0
85,2019. 8. 2.,17:59:00,1,신길,병점,N,0,1,0,1,0,,0,1,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
86,2019. 8. 2.,18:18:00,1,신길,병점,N,0,1,0,1,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
