date,time,line,start,stop,E,N,F,old_age_seat,is_empty,Female,Male,isempty_station,child,teenage,Youth,middle_age,old_age,badge,pregnant,heavy,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
2019. 8. 3.,18:28:00,1,종각,병점,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,19:03:00,1,종각,병점,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,17:04:00,1,종각,병점,0,1,0,0,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,19:29:00,1,종각,수원,0,1,0,1,0,1,0,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2019. 8. 3.,19:29:00,1,종각,용산,0,1,0,1,1,,,4,,,,,,,,,,,,,,,,,,
2019. 8. 3.,19:38:00,1,종각,수원,0,1,0,1,0,0,1,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,19:48:00,1,종각,수원,0,0,1,1,0,1,0,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 3.,20:11:00,1,종각,수원,0,0,1,1,0,1,0,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,20:11:00,1,종각,수원,0,0,1,1,0,0,1,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,20:28:00,1,종각,수원,0,0,1,1,0,0,1,,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,20:29:00,1,종각,수원,0,0,1,1,0,0,1,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,20:40:00,1,종각,수원,0,0,1,1,0,0,1,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2019. 8. 3.,20:40:00,1,성균관대,수원,0,0,1,1,1,,,2,,,,,,,,,,,,,,,,,,
2019. 8. 3.,9:42:00,10,야탑,왕십리,0,1,0,1,0,0,1,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,9:54:00,10,야탑,왕십리,0,1,0,0,0,1,0,,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,9:54:00,10,야탑,왕십리,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,10:14:00,10,,왕십리,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
2019. 8. 3.,10:14:00,10,,왕십리,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
2019. 8. 3.,10:32:00,5,왕십리,광화문,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019. 8. 3.,10:32:00,5,왕십리,광화문,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019. 8. 3.,18:06:00,5,광화문,왕십리,0,0,1,0,0,1,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019. 8. 3.,18:06:00,5,광화문,왕십리,0,0,1,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019. 8. 3.,18:11:00,5,광화문,왕십리,0,0,1,0,0,1,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019. 8. 3.,18:15:00,5,광화문,왕십리,0,0,1,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019. 8. 3.,18:23:00,10,왕십리,야탑,0,1,0,1,0,1,0,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,18:23:00,10,왕십리,가천대,0,1,0,1,1,,,13,,,,,,,,,,,,,,,,,,
